id,name,type,power,pp,accuracy,priority,target_id,damage_class,effect_id,effect_chance
51,acid,poison,40,30,100,0,11,special,73,10
52,ember,fire,40,25,100,0,10,special,5,10
53,flamethrower,fire,90,15,100,0,10,special,5,10
54,mist,ice,-1,30,100,0,4,status,47,100
55,water-gun,water,40,25,100,0,10,special,1,100
56,hydro-pump,water,110,5,80,0,10,special,1,100
57,surf,water,90,15,100,0,9,special,258,100
58,ice-beam,ice,90,10,100,0,10,special,6,10
59,blizzard,ice,110,5,70,0,11,special,261,10
60,psybeam,psychic,65,20,100,0,10,special,77,10
61,bubble-beam,water,65,20,100,0,10,special,71,10
62,aurora-beam,ice,65,20,100,0,10,special,69,10
63,hyper-beam,normal,150,5,90,0,10,special,81,100
64,peck,flying,35,35,100,0,10,physical,1,100
65,drill-peck,flying,80,20,100,0,10,physical,1,100
66,submission,fighting,80,20,80,0,10,physical,49,100
67,low-kick,fighting,-1,20,100,0,10,physical,197,100
68,counter,fighting,-1,20,100,-5,1,physical,90,100
69,seismic-toss,fighting,-1,20,100,0,10,physical,88,100
70,strength,normal,80,15,100,0,10,physical,1,100
71,absorb,grass,20,25,100,0,10,special,4,100
72,mega-drain,grass,40,15,100,0,10,special,4,100
73,leech-seed,grass,-1,10,90,0,10,status,85,100
74,growth,normal,-1,20,100,0,7,status,317,100
75,razor-leaf,grass,55,25,95,0,11,physical,44,100
76,solar-beam,grass,120,10,100,0,10,special,152,100
77,poison-powder,poison,-1,35,75,0,10,status,67,100
78,stun-spore,grass,-1,30,75,0,10,status,68,100
79,sleep-powder,grass,-1,15,75,0,10,status,2,100
80,petal-dance,grass,120,10,100,0,8,special,28,100
81,string-shot,bug,-1,40,95,0,11,status,61,100
82,dragon-rage,dragon,-1,10,100,0,10,special,42,100
83,fire-spin,fire,35,15,85,0,10,special,43,100
84,thunder-shock,electric,40,30,100,0,10,special,7,10
85,thunderbolt,electric,90,15,100,0,10,special,7,10
86,thunder-wave,electric,-1,20,90,0,10,status,7,100
87,thunder,electric,110,10,70,0,10,special,153,30
88,rock-throw,rock,50,15,90,0,10,physical,1,100
89,earthquake,ground,100,10,100,0,9,physical,148,100
90,fissure,ground,-1,5,30,0,10,physical,39,100
91,dig,ground,80,10,100,0,10,physical,257,100
92,toxic,poison,-1,10,90,0,10,status,34,100
93,confusion,psychic,50,25,100,0,10,special,77,10
94,psychic,psychic,90,10,100,0,10,special,73,10
95,hypnosis,psychic,-1,20,60,0,10,status,2,100
96,meditate,psychic,-1,40,100,0,7,status,11,100
97,agility,psychic,-1,30,100,0,7,status,53,100
98,quick-attack,normal,40,30,100,1,10,physical,104,100
99,rage,normal,20,20,100,0,10,physical,82,100
100,teleport,psychic,-1,20,100,-6,7,status,154,100
101,night-shade,ghost,-1,15,100,0,10,special,88,100
102,mimic,normal,-1,10,100,0,10,status,83,100
103,screech,normal,-1,40,85,0,10,status,60,100
104,double-team,normal,-1,15,100,0,7,status,17,100
105,recover,normal,-1,10,100,0,7,status,33,100
106,harden,normal,-1,30,100,0,7,status,12,100
107,minimize,normal,-1,10,100,0,7,status,109,100
108,smokescreen,normal,-1,20,100,0,10,status,24,100
109,confuse-ray,ghost,-1,10,100,0,10,status,50,100
110,withdraw,water,-1,40,100,0,7,status,12,100
111,defense-curl,normal,-1,40,100,0,7,status,157,100
112,barrier,psychic,-1,20,100,0,7,status,52,100
113,light-screen,psychic,-1,30,100,0,4,status,36,100
114,haze,ice,-1,30,100,0,12,status,26,100
115,reflect,psychic,-1,20,100,0,4,status,66,100
116,focus-energy,normal,-1,30,100,0,7,status,48,100
117,bide,normal,-1,10,100,1,7,physical,27,100
118,metronome,normal,-1,10,100,0,7,status,84,100
119,mirror-move,flying,-1,20,100,0,10,status,10,100
120,self-destruct,normal,200,5,100,0,9,physical,8,100
121,egg-bomb,normal,100,10,75,0,10,physical,1,100
122,lick,ghost,30,30,100,0,10,physical,7,30
123,smog,poison,30,20,70,0,10,special,3,40
124,sludge,poison,65,20,100,0,10,special,3,30
125,bone-club,ground,65,20,85,0,10,physical,32,10
126,fire-blast,fire,110,5,85,0,10,special,5,10
127,waterfall,water,80,15,100,0,10,physical,32,20
128,clamp,water,35,15,85,0,10,physical,43,100
129,swift,normal,60,20,100,0,11,special,18,100
130,skull-bash,normal,130,10,100,0,10,physical,146,100
131,spike-cannon,normal,20,15,100,0,10,physical,30,100
132,constrict,normal,10,35,100,0,10,physical,71,10
133,amnesia,psychic,-1,20,100,0,7,status,55,100
134,kinesis,psychic,-1,15,80,0,10,status,24,100
135,soft-boiled,normal,-1,10,100,0,7,status,33,100
136,high-jump-kick,fighting,130,10,90,0,10,physical,46,100
137,glare,normal,-1,30,100,0,10,status,68,100
138,dream-eater,psychic,100,15,100,0,10,special,9,100
139,poison-gas,poison,-1,40,90,0,11,status,67,100
140,barrage,normal,15,20,85,0,10,physical,30,100
141,leech-life,bug,80,10,100,0,10,physical,4,100
142,lovely-kiss,normal,-1,10,75,0,10,status,2,100
143,sky-attack,flying,140,5,90,0,10,physical,76,30
144,transform,normal,-1,10,100,0,10,status,58,100
145,bubble,water,40,30,100,0,11,special,71,10
146,dizzy-punch,normal,70,10,100,0,10,physical,77,20
147,spore,grass,-1,15,100,0,10,status,2,100
148,flash,normal,-1,20,100,0,10,status,24,100
149,psywave,psychic,-1,15,100,0,10,special,89,100
150,splash,normal,-1,40,100,0,7,status,86,100
151,acid-armor,poison,-1,20,100,0,7,status,52,100
152,crabhammer,water,100,10,90,0,10,physical,44,100
153,explosion,normal,250,5,100,0,9,physical,8,100
154,fury-swipes,normal,18,15,80,0,10,physical,30,100
155,bonemerang,ground,50,10,90,0,10,physical,45,100
156,rest,psychic,-1,10,100,0,7,status,38,100
157,rock-slide,rock,75,10,90,0,11,physical,32,30
158,hyper-fang,normal,80,15,90,0,10,physical,32,10
159,sharpen,normal,-1,30,100,0,7,status,11,100
160,conversion,normal,-1,30,100,0,7,status,31,100
161,tri-attack,normal,80,10,100,0,10,special,37,20
162,super-fang,normal,-1,10,90,0,10,physical,41,100
163,slash,normal,70,20,100,0,10,physical,44,100
164,substitute,normal,-1,10,100,0,7,status,80,100
165,struggle,normal,50,1,100,0,8,physical,255,100
166,sketch,normal,-1,1,100,0,10,status,96,100
167,triple-kick,fighting,10,10,90,0,10,physical,105,100
168,thief,dark,60,25,100,0,10,physical,106,100
169,spider-web,bug,-1,10,100,0,10,status,107,100
170,mind-reader,normal,-1,5,100,0,10,status,95,100
171,nightmare,ghost,-1,15,100,0,10,status,108,100
172,flame-wheel,fire,60,25,100,0,10,physical,126,10
173,snore,normal,50,15,100,0,10,special,93,30
174,curse,ghost,-1,10,100,0,1,status,110,100
175,flail,normal,-1,15,100,0,10,physical,100,100
176,conversion-2,normal,-1,30,100,0,10,status,94,100
177,aeroblast,flying,100,5,95,0,10,special,44,100
178,cotton-spore,grass,-1,40,100,0,11,status,61,100
179,reversal,fighting,-1,15,100,0,10,physical,100,100
180,spite,ghost,-1,10,100,0,10,status,101,100
181,powder-snow,ice,40,25,100,0,11,special,6,10
182,protect,normal,-1,10,100,4,7,status,112,100
183,mach-punch,fighting,40,30,100,1,10,physical,104,100
184,scary-face,normal,-1,10,100,0,10,status,61,100
185,feint-attack,dark,60,20,100,0,10,physical,18,100
186,sweet-kiss,fairy,-1,10,75,0,10,status,50,100
187,belly-drum,normal,-1,10,100,0,7,status,143,100
188,sludge-bomb,poison,90,10,100,0,10,special,3,30
189,mud-slap,ground,20,10,100,0,10,special,74,100
190,octazooka,water,65,10,85,0,10,special,74,50
191,spikes,ground,-1,20,100,0,6,status,113,100
192,zap-cannon,electric,120,5,50,0,10,special,7,100
193,foresight,normal,-1,40,100,0,10,status,114,100
194,destiny-bond,ghost,-1,5,100,0,7,status,99,100
195,perish-song,normal,-1,5,100,0,14,status,115,100
196,icy-wind,ice,55,15,95,0,11,special,71,100
197,detect,fighting,-1,5,100,4,7,status,112,100
198,bone-rush,ground,25,10,90,0,10,physical,30,100
199,lock-on,normal,-1,5,100,0,10,status,95,100
200,outrage,dragon,120,10,100,0,8,physical,28,100
201,sandstorm,rock,-1,10,100,0,12,status,116,100
202,giga-drain,grass,75,10,100,0,10,special,4,100
203,endure,normal,-1,10,100,4,7,status,117,100
204,charm,fairy,-1,20,100,0,10,status,59,100
205,rollout,rock,30,20,90,0,10,physical,118,100
206,false-swipe,normal,40,40,100,0,10,physical,102,100
207,swagger,normal,-1,15,85,0,10,status,119,100
208,milk-drink,normal,-1,10,100,0,7,status,33,100
209,spark,electric,65,20,100,0,10,physical,7,30
210,fury-cutter,bug,40,20,95,0,10,physical,120,100
211,steel-wing,steel,70,25,90,0,10,physical,139,10
212,mean-look,normal,-1,5,100,0,10,status,107,100
213,attract,normal,-1,15,100,0,10,status,121,100
214,sleep-talk,normal,-1,10,100,0,7,status,98,100
215,heal-bell,normal,-1,5,100,0,13,status,103,100
216,return,normal,-1,20,100,0,10,physical,122,100
217,present,normal,-1,15,90,0,10,physical,123,100
218,frustration,normal,-1,20,100,0,10,physical,124,100
219,safeguard,normal,-1,25,100,0,4,status,125,100
220,pain-split,normal,-1,20,100,0,10,status,92,100
221,sacred-fire,fire,100,5,95,0,10,physical,126,50
222,magnitude,ground,-1,30,100,0,9,physical,127,100
223,dynamic-punch,fighting,100,5,50,0,10,physical,77,100
224,megahorn,bug,120,10,85,0,10,physical,1,100
225,dragon-breath,dragon,60,20,100,0,10,special,7,30
226,baton-pass,normal,-1,40,100,0,7,status,128,100
227,encore,normal,-1,5,100,0,10,status,91,100
228,pursuit,dark,40,20,100,0,10,physical,129,100
229,rapid-spin,normal,50,40,100,0,10,physical,130,100
230,sweet-scent,normal,-1,20,100,0,11,status,25,100
231,iron-tail,steel,100,15,75,0,10,physical,70,30
232,metal-claw,steel,50,35,95,0,10,physical,140,10
233,vital-throw,fighting,70,10,100,-1,10,physical,79,100
234,morning-sun,normal,-1,5,100,0,7,status,133,100
235,synthesis,grass,-1,5,100,0,7,status,133,100
236,moonlight,fairy,-1,5,100,0,7,status,133,100
237,hidden-power,normal,60,15,100,0,10,special,136,100
238,cross-chop,fighting,100,5,80,0,10,physical,44,100
239,twister,dragon,40,20,100,0,11,special,147,20
240,rain-dance,water,-1,5,100,0,12,status,137,100
241,sunny-day,fire,-1,5,100,0,12,status,138,100
242,crunch,dark,80,15,100,0,10,physical,70,20
243,mirror-coat,psychic,-1,20,100,-5,1,special,145,100
244,psych-up,normal,-1,10,100,0,10,status,144,100
245,extreme-speed,normal,80,5,100,2,10,physical,104,100
246,ancient-power,rock,60,5,100,0,10,special,141,10
247,shadow-ball,ghost,80,15,100,0,10,special,73,20
248,future-sight,psychic,120,10,100,0,10,special,149,100
249,rock-smash,fighting,40,15,100,0,10,physical,70,50
250,whirlpool,water,35,15,85,0,10,special,262,100
251,beat-up,dark,-1,10,100,0,10,physical,155,100
252,fake-out,normal,40,10,100,3,10,physical,159,100
253,uproar,normal,90,10,100,0,8,special,160,100
254,stockpile,normal,-1,20,100,0,7,status,161,100
255,spit-up,normal,-1,10,100,0,10,special,162,100
256,swallow,normal,-1,10,100,0,7,status,163,100
257,heat-wave,fire,95,10,90,0,11,special,5,10
258,hail,ice,-1,10,100,0,12,status,165,100
259,torment,dark,-1,15,100,0,10,status,166,100
260,flatter,dark,-1,15,100,0,10,status,167,100
261,will-o-wisp,fire,-1,15,85,0,10,status,5,100
262,memento,dark,-1,10,100,0,10,status,169,100
263,facade,normal,70,20,100,0,10,physical,170,100
264,focus-punch,fighting,150,20,100,-3,10,physical,171,100
265,smelling-salts,normal,70,10,100,0,10,physical,172,100
266,follow-me,normal,-1,20,100,2,7,status,173,100
267,nature-power,normal,-1,20,100,0,10,status,174,100
268,charge,electric,-1,20,100,0,7,status,175,100
269,taunt,dark,-1,20,100,0,10,status,176,100
270,helping-hand,normal,-1,20,100,5,3,status,177,100
271,trick,psychic,-1,10,100,0,10,status,178,100
272,role-play,psychic,-1,10,100,0,10,status,179,100
273,wish,normal,-1,10,100,0,7,status,180,100
274,assist,normal,-1,20,100,0,7,status,181,100
275,ingrain,grass,-1,20,100,0,7,status,182,100
276,superpower,fighting,120,5,100,0,10,physical,183,100
277,magic-coat,psychic,-1,15,100,4,7,status,184,100
278,recycle,normal,-1,10,100,0,7,status,185,100
279,revenge,fighting,60,10,100,-4,10,physical,186,100
280,brick-break,fighting,75,15,100,0,10,physical,187,100
281,yawn,normal,-1,10,100,0,10,status,188,100
282,knock-off,dark,65,20,100,0,10,physical,189,100
283,endeavor,normal,-1,5,100,0,10,physical,190,100
284,eruption,fire,150,5,100,0,11,special,191,100
285,skill-swap,psychic,-1,10,100,0,10,status,192,100
286,imprison,psychic,-1,10,100,0,7,status,193,100
287,refresh,normal,-1,20,100,0,7,status,194,100
288,grudge,ghost,-1,5,100,0,7,status,195,100
289,snatch,dark,-1,10,100,4,7,status,196,100
290,secret-power,normal,70,20,100,0,10,physical,198,30
291,dive,water,80,10,100,0,10,physical,256,100
292,arm-thrust,fighting,15,20,100,0,10,physical,30,100
293,camouflage,normal,-1,20,100,0,7,status,214,100
294,tail-glow,bug,-1,20,100,0,7,status,322,100
295,luster-purge,psychic,70,5,100,0,10,special,73,50
296,mist-ball,psychic,70,5,100,0,10,special,72,50
297,feather-dance,flying,-1,15,100,0,10,status,59,100
298,teeter-dance,normal,-1,20,100,0,9,status,200,100
299,blaze-kick,fire,85,10,90,0,10,physical,201,10
300,mud-sport,ground,-1,15,100,0,12,status,202,100
301,ice-ball,ice,30,20,90,0,10,physical,118,100
302,needle-arm,grass,60,15,100,0,10,physical,32,30
303,slack-off,normal,-1,10,100,0,7,status,33,100
304,hyper-voice,normal,90,10,100,0,11,special,1,100
305,poison-fang,poison,50,15,100,0,10,physical,203,50
306,crush-claw,normal,75,10,95,0,10,physical,70,50
307,blast-burn,fire,150,5,90,0,10,special,81,100
308,hydro-cannon,water,150,5,90,0,10,special,81,100
309,meteor-mash,steel,90,10,90,0,10,physical,140,20
310,astonish,ghost,30,15,100,0,10,physical,32,30
311,weather-ball,normal,50,10,100,0,10,special,204,100
312,aromatherapy,grass,-1,5,100,0,13,status,103,100
313,fake-tears,dark,-1,20,100,0,10,status,63,100
314,air-cutter,flying,60,25,95,0,11,special,44,100
315,overheat,fire,130,5,90,0,10,special,205,100
316,odor-sleuth,normal,-1,40,100,0,10,status,114,100
317,rock-tomb,rock,60,15,95,0,10,physical,71,100
318,silver-wind,bug,60,5,100,0,10,special,141,10
319,metal-sound,steel,-1,40,85,0,10,status,63,100
320,grass-whistle,grass,-1,15,55,0,10,status,2,100
321,tickle,normal,-1,20,100,0,10,status,206,100
322,cosmic-power,psychic,-1,20,100,0,7,status,207,100
323,water-spout,water,150,5,100,0,11,special,191,100
324,signal-beam,bug,75,15,100,0,10,special,77,10
325,shadow-punch,ghost,60,20,100,0,10,physical,18,100
326,extrasensory,psychic,80,20,100,0,10,special,32,10
327,sky-uppercut,fighting,85,15,90,0,10,physical,208,100
328,sand-tomb,ground,35,15,85,0,10,physical,43,100
329,sheer-cold,ice,-1,5,30,0,10,special,39,100
330,muddy-water,water,90,10,85,0,11,special,74,30
331,bullet-seed,grass,25,30,100,0,10,physical,30,100
332,aerial-ace,flying,60,20,100,0,10,physical,18,100
333,icicle-spear,ice,25,30,100,0,10,physical,30,100
334,iron-defense,steel,-1,15,100,0,7,status,52,100
335,block,normal,-1,5,100,0,10,status,107,100
336,howl,normal,-1,40,100,0,13,status,11,100
337,dragon-claw,dragon,80,15,100,0,10,physical,1,100
338,frenzy-plant,grass,150,5,90,0,10,special,81,100
339,bulk-up,fighting,-1,20,100,0,7,status,209,100
340,bounce,flying,85,5,85,0,10,physical,264,30
341,mud-shot,ground,55,15,95,0,10,special,71,100
342,poison-tail,poison,50,25,100,0,10,physical,210,10
343,covet,normal,60,25,100,0,10,physical,106,100
344,volt-tackle,electric,120,15,100,0,10,physical,263,10
345,magical-leaf,grass,60,20,100,0,10,special,18,100
346,water-sport,water,-1,15,100,0,12,status,211,100
347,calm-mind,psychic,-1,20,100,0,7,status,212,100
348,leaf-blade,grass,90,15,100,0,10,physical,44,100
349,dragon-dance,dragon,-1,20,100,0,7,status,213,100
350,rock-blast,rock,25,10,90,0,10,physical,30,100
351,shock-wave,electric,60,20,100,0,10,special,18,100
352,water-pulse,water,60,20,100,0,10,special,77,20
353,doom-desire,steel,140,5,100,0,10,special,149,100
354,psycho-boost,psychic,140,5,90,0,10,special,205,100
355,roost,flying,-1,10,100,0,7,status,215,100
356,gravity,psychic,-1,5,100,0,12,status,216,100
357,miracle-eye,psychic,-1,40,100,0,10,status,217,100
358,wake-up-slap,fighting,70,10,100,0,10,physical,218,100
359,hammer-arm,fighting,100,10,90,0,10,physical,219,100
360,gyro-ball,steel,-1,5,100,0,10,physical,220,100
361,healing-wish,psychic,-1,10,100,0,7,status,221,100
362,brine,water,65,10,100,0,10,special,222,100
363,natural-gift,normal,-1,15,100,0,10,physical,223,100
364,feint,normal,30,10,100,2,10,physical,224,100
365,pluck,flying,60,20,100,0,10,physical,225,100
366,tailwind,flying,-1,15,100,0,4,status,226,100
367,acupressure,normal,-1,30,100,0,5,status,227,100
368,metal-burst,steel,-1,10,100,0,1,physical,228,100
369,u-turn,bug,70,20,100,0,10,physical,229,100
370,close-combat,fighting,120,5,100,0,10,physical,230,100
371,payback,dark,50,10,100,0,10,physical,231,100
372,assurance,dark,60,10,100,0,10,physical,232,100
373,embargo,dark,-1,15,100,0,10,status,233,100
374,fling,dark,-1,10,100,0,10,physical,234,100
375,psycho-shift,psychic,-1,10,100,0,10,status,235,100
376,trump-card,normal,-1,5,100,0,10,special,236,100
377,heal-block,psychic,-1,15,100,0,11,status,237,100
378,wring-out,normal,-1,5,100,0,10,special,238,100
379,power-trick,psychic,-1,10,100,0,7,status,239,100
380,gastro-acid,poison,-1,10,100,0,10,status,240,100
381,lucky-chant,normal,-1,30,100,0,4,status,241,100
382,me-first,normal,-1,20,100,0,2,status,242,100
383,copycat,normal,-1,20,100,0,7,status,243,100
384,power-swap,psychic,-1,10,100,0,10,status,244,100
385,guard-swap,psychic,-1,10,100,0,10,status,245,100
386,punishment,dark,-1,5,100,0,10,physical,246,100
387,last-resort,normal,140,5,100,0,10,physical,247,100
388,worry-seed,grass,-1,10,100,0,10,status,248,100
389,sucker-punch,dark,70,5,100,1,10,physical,249,100
390,toxic-spikes,poison,-1,20,100,0,6,status,250,100
391,heart-swap,psychic,-1,10,100,0,10,status,251,100
392,aqua-ring,water,-1,20,100,0,7,status,252,100
393,magnet-rise,electric,-1,10,100,0,7,status,253,100
394,flare-blitz,fire,120,15,100,0,10,physical,254,10
395,force-palm,fighting,60,10,100,0,10,physical,7,30
396,aura-sphere,fighting,80,20,100,0,10,special,18,100
397,rock-polish,rock,-1,20,100,0,7,status,53,100
398,poison-jab,poison,80,20,100,0,10,physical,3,30
399,dark-pulse,dark,80,15,100,0,10,special,32,20
400,night-slash,dark,70,15,100,0,10,physical,44,100
401,aqua-tail,water,90,10,90,0,10,physical,1,100
402,seed-bomb,grass,80,15,100,0,10,physical,1,100
403,air-slash,flying,75,15,95,0,10,special,32,30
404,x-scissor,bug,80,15,100,0,10,physical,1,100
405,bug-buzz,bug,90,10,100,0,10,special,73,10
406,dragon-pulse,dragon,85,10,100,0,10,special,1,100
407,dragon-rush,dragon,100,10,75,0,10,physical,32,20
408,power-gem,rock,80,20,100,0,10,special,1,100
409,drain-punch,fighting,75,10,100,0,10,physical,4,100
410,vacuum-wave,fighting,40,30,100,1,10,special,104,100
411,focus-blast,fighting,120,5,70,0,10,special,73,10
412,energy-ball,grass,90,10,100,0,10,special,73,10
413,brave-bird,flying,120,15,100,0,10,physical,199,100
414,earth-power,ground,90,10,100,0,10,special,73,10
415,switcheroo,dark,-1,10,100,0,10,status,178,100
416,giga-impact,normal,150,5,90,0,10,physical,81,100
417,nasty-plot,dark,-1,20,100,0,7,status,54,100
418,bullet-punch,steel,40,30,100,1,10,physical,104,100
419,avalanche,ice,60,10,100,-4,10,physical,186,100
420,ice-shard,ice,40,30,100,1,10,physical,104,100
421,shadow-claw,ghost,70,15,100,0,10,physical,44,100
422,thunder-fang,electric,65,15,95,0,10,physical,276,10
423,ice-fang,ice,65,15,95,0,10,physical,275,10
424,fire-fang,fire,65,15,95,0,10,physical,274,10
425,shadow-sneak,ghost,40,30,100,1,10,physical,104,100
426,mud-bomb,ground,65,10,85,0,10,special,74,30
427,psycho-cut,psychic,70,20,100,0,10,physical,44,100
428,zen-headbutt,psychic,80,15,90,0,10,physical,32,20
429,mirror-shot,steel,65,10,85,0,10,special,74,30
430,flash-cannon,steel,80,10,100,0,10,special,73,10
431,rock-climb,normal,90,20,85,0,10,physical,77,20
432,defog,flying,-1,15,100,0,10,status,259,100
433,trick-room,psychic,-1,5,100,-7,12,status,260,100
434,draco-meteor,dragon,130,5,90,0,10,special,205,100
435,discharge,electric,80,15,100,0,9,special,7,30
436,lava-plume,fire,80,15,100,0,9,special,5,30
437,leaf-storm,grass,130,5,90,0,10,special,205,100
438,power-whip,grass,120,10,85,0,10,physical,1,100
439,rock-wrecker,rock,150,5,90,0,10,physical,81,100
440,cross-poison,poison,70,20,100,0,10,physical,210,10
441,gunk-shot,poison,120,5,80,0,10,physical,3,30
442,iron-head,steel,80,15,100,0,10,physical,32,30
443,magnet-bomb,steel,60,20,100,0,10,physical,18,100
444,stone-edge,rock,100,5,80,0,10,physical,44,100
445,captivate,normal,-1,20,100,0,11,status,266,100
446,stealth-rock,rock,-1,20,100,0,6,status,267,100
447,grass-knot,grass,-1,20,100,0,10,special,197,100
448,chatter,flying,65,20,100,0,10,special,268,100
449,judgment,normal,100,10,100,0,10,special,269,100
450,bug-bite,bug,60,20,100,0,10,physical,225,100
451,charge-beam,electric,50,10,90,0,10,special,277,70
452,wood-hammer,grass,120,15,100,0,10,physical,199,100
453,aqua-jet,water,40,20,100,1,10,physical,104,100
454,attack-order,bug,90,15,100,0,10,physical,44,100
455,defend-order,bug,-1,10,100,0,7,status,207,100
456,heal-order,bug,-1,10,100,0,7,status,33,100
457,head-smash,rock,150,5,80,0,10,physical,270,100
458,double-hit,normal,35,10,90,0,10,physical,45,100
459,roar-of-time,dragon,150,5,90,0,10,special,81,100
460,spacial-rend,dragon,100,5,95,0,10,special,44,100
461,lunar-dance,psychic,-1,10,100,0,7,status,271,100
462,crush-grip,normal,-1,5,100,0,10,physical,238,100
463,magma-storm,fire,100,5,75,0,10,special,43,100
464,dark-void,dark,-1,10,50,0,11,status,2,100
465,seed-flare,grass,120,5,85,0,10,special,272,40
466,ominous-wind,ghost,60,5,100,0,10,special,141,10
467,shadow-force,ghost,120,5,100,0,10,physical,273,100
468,hone-claws,dark,-1,15,100,0,7,status,278,100
469,wide-guard,rock,-1,10,100,3,4,status,279,100
470,guard-split,psychic,-1,10,100,0,10,status,280,100
471,power-split,psychic,-1,10,100,0,10,status,281,100
472,wonder-room,psychic,-1,10,100,0,12,status,282,100
473,psyshock,psychic,80,10,100,0,10,special,283,100
474,venoshock,poison,65,10,100,0,10,special,284,100
475,autotomize,steel,-1,15,100,0,7,status,285,100
476,rage-powder,bug,-1,20,100,2,7,status,173,100
477,telekinesis,psychic,-1,15,100,0,10,status,286,100
478,magic-room,psychic,-1,10,100,0,12,status,287,100
479,smack-down,rock,50,15,100,0,10,physical,288,100
480,storm-throw,fighting,60,10,100,0,10,physical,289,100
481,flame-burst,fire,70,15,100,0,10,special,290,100
482,sludge-wave,poison,95,10,100,0,9,special,3,10
483,quiver-dance,bug,-1,20,100,0,7,status,291,100
484,heavy-slam,steel,-1,10,100,0,10,physical,292,100
485,synchronoise,psychic,120,10,100,0,9,special,293,100
486,electro-ball,electric,-1,10,100,0,10,special,294,100
487,soak,water,-1,20,100,0,10,status,295,100
488,flame-charge,fire,50,20,100,0,10,physical,296,100
489,coil,poison,-1,20,100,0,7,status,323,100
490,low-sweep,fighting,65,20,100,0,10,physical,21,100
491,acid-spray,poison,40,20,100,0,10,special,297,100
492,foul-play,dark,95,15,100,0,10,physical,298,100
493,simple-beam,normal,-1,15,100,0,10,status,299,100
494,entrainment,normal,-1,15,100,0,10,status,300,100
495,after-you,normal,-1,15,100,0,10,status,301,100
496,round,normal,60,15,100,0,10,special,302,100
497,echoed-voice,normal,40,15,100,0,10,special,303,100
498,chip-away,normal,70,20,100,0,10,physical,304,100
499,clear-smog,poison,50,15,100,0,10,special,305,100
500,stored-power,psychic,20,10,100,0,10,special,306,100
501,quick-guard,fighting,-1,15,100,3,4,status,307,100
502,ally-switch,psychic,-1,15,100,2,7,status,308,100
503,scald,water,80,15,100,0,10,special,5,30
504,shell-smash,normal,-1,15,100,0,7,status,309,100
505,heal-pulse,psychic,-1,10,100,0,10,status,310,100
506,hex,ghost,65,10,100,0,10,special,311,100
507,sky-drop,flying,60,10,100,0,10,physical,312,100
508,shift-gear,steel,-1,10,100,0,7,status,313,100
